Sexo;Grupo de edad;Tamaño del municipio de residencia;Realización específica de la prueba del VIH/sida;Total
Varones;Total;Total;Total;10.532,1
Varones;Total;Total;Alguna vez;1.941,1
Varones;Total;Total;Nunca;8.500,4
Varones;Total;Total;No consta;90,6
Varones;Total;Hasta 10000 habitantes;Total;2.407,7
Varones;Total;Hasta 10000 habitantes;Alguna vez;366,7
Varones;Total;Hasta 10000 habitantes;Nunca;2.019,8
Varones;Total;Hasta 10000 habitantes;No consta;21,2
Varones;Total;De 10001 a 50000 habitantes;Total;2.651,3
Varones;Total;De 10001 a 50000 habitantes;Alguna vez;468,2
Varones;Total;De 10001 a 50000 habitantes;Nunca;2.159,1
Varones;Total;De 10001 a 50000 habitantes;No consta;24,0
Varones;Total;De 50001 a 500000 habitantes;Total;3.716,4
Varones;Total;De 50001 a 500000 habitantes;Alguna vez;732,0
Varones;Total;De 50001 a 500000 habitantes;Nunca;2.964,5
Varones;Total;De 50001 a 500000 habitantes;No consta;19,8
Varones;Total;Más de 500000 habitantes;Total;1.756,8
Varones;Total;Más de 500000 habitantes;Alguna vez;374,1
Varones;Total;Más de 500000 habitantes;Nunca;1.357,0
Varones;Total;Más de 500000 habitantes;No consta;25,6
Varones;De 18 a 29 años;Total;Total;3.932,5
Varones;De 18 a 29 años;Total;Alguna vez;514,9
Varones;De 18 a 29 años;Total;Nunca;3.372,7
Varones;De 18 a 29 años;Total;No consta;45,0
Varones;De 18 a 29 años;Hasta 10000 habitantes;Total;782,3
Varones;De 18 a 29 años;Hasta 10000 habitantes;Alguna vez;86,5
Varones;De 18 a 29 años;Hasta 10000 habitantes;Nunca;681,6
Varones;De 18 a 29 años;Hasta 10000 habitantes;No consta;14,3
Varones;De 18 a 29 años;De 10001 a 50000 habitantes;Total;1.046,6
Varones;De 18 a 29 años;De 10001 a 50000 habitantes;Alguna vez;129,2
Varones;De 18 a 29 años;De 10001 a 50000 habitantes;Nunca;904,6
Varones;De 18 a 29 años;De 10001 a 50000 habitantes;No consta;12,9
Varones;De 18 a 29 años;De 50001 a 500000 habitantes;Total;1.436,6
Varones;De 18 a 29 años;De 50001 a 500000 habitantes;Alguna vez;187,1
Varones;De 18 a 29 años;De 50001 a 500000 habitantes;Nunca;1.242,4
Varones;De 18 a 29 años;De 50001 a 500000 habitantes;No consta;7,1
Varones;De 18 a 29 años;Más de 500000 habitantes;Total;666,9
Varones;De 18 a 29 años;Más de 500000 habitantes;Alguna vez;112,1
Varones;De 18 a 29 años;Más de 500000 habitantes;Nunca;544,1
Varones;De 18 a 29 años;Más de 500000 habitantes;No consta;10,8
Varones;De 30 a 39 años;Total;Total;3.584,4
Varones;De 30 a 39 años;Total;Alguna vez;884,8
Varones;De 30 a 39 años;Total;Nunca;2.671,2
Varones;De 30 a 39 años;Total;No consta;28,4
